Gene.ID	name	Row.names
21ur.type2-1	21ur.type2-1	21ur.type2-1
21ur.type2-10	21ur.type2-10	21ur.type2-10
21ur.type2-1001	21ur.type2-1001	21ur.type2-1001
21ur.type2-1003	21ur.type2-1003	21ur.type2-1003
21ur.type2-1004	21ur.type2-1004	21ur.type2-1004
21ur.type2-1006	21ur.type2-1006	21ur.type2-1006
21ur.type2-1008	21ur.type2-1008	21ur.type2-1008
21ur.type2-101	21ur.type2-101	21ur.type2-101
21ur.type2-1010	21ur.type2-1010	21ur.type2-1010
21ur.type2-1013	21ur.type2-1013	21ur.type2-1013
21ur.type2-1014	21ur.type2-1014	21ur.type2-1014
21ur.type2-102	21ur.type2-102	21ur.type2-102
21ur.type2-1023	21ur.type2-1023	21ur.type2-1023
21ur.type2-1024	21ur.type2-1024	21ur.type2-1024
21ur.type2-1026	21ur.type2-1026	21ur.type2-1026
21ur.type2-1029	21ur.type2-1029	21ur.type2-1029
21ur.type2-1034	21ur.type2-1034	21ur.type2-1034
21ur.type2-1035	21ur.type2-1035	21ur.type2-1035
21ur.type2-104	21ur.type2-104	21ur.type2-104
21ur.type2-1040	21ur.type2-1040	21ur.type2-1040
21ur.type2-105	21ur.type2-105	21ur.type2-105
21ur.type2-1052	21ur.type2-1052	21ur.type2-1052
21ur.type2-1063	21ur.type2-1063	21ur.type2-1063
21ur.type2-1064	21ur.type2-1064	21ur.type2-1064
21ur.type2-107	21ur.type2-107	21ur.type2-107
21ur.type2-1074	21ur.type2-1074	21ur.type2-1074
21ur.type2-1076	21ur.type2-1076	21ur.type2-1076
21ur.type2-108	21ur.type2-108	21ur.type2-108
21ur.type2-1083	21ur.type2-1083	21ur.type2-1083
21ur.type2-1085	21ur.type2-1085	21ur.type2-1085
21ur.type2-1089	21ur.type2-1089	21ur.type2-1089
21ur.type2-1093	21ur.type2-1093	21ur.type2-1093
21ur.type2-11	21ur.type2-11	21ur.type2-11
21ur.type2-1104	21ur.type2-1104	21ur.type2-1104
21ur.type2-1106	21ur.type2-1106	21ur.type2-1106
21ur.type2-1109	21ur.type2-1109	21ur.type2-1109
21ur.type2-1111	21ur.type2-1111	21ur.type2-1111
21ur.type2-1112	21ur.type2-1112	21ur.type2-1112
21ur.type2-1113	21ur.type2-1113	21ur.type2-1113
21ur.type2-1114	21ur.type2-1114	21ur.type2-1114
21ur.type2-1115	21ur.type2-1115	21ur.type2-1115
21ur.type2-1117	21ur.type2-1117	21ur.type2-1117
21ur.type2-1118	21ur.type2-1118	21ur.type2-1118
21ur.type2-112	21ur.type2-112	21ur.type2-112
21ur.type2-1127	21ur.type2-1127	21ur.type2-1127
21ur.type2-1128	21ur.type2-1128	21ur.type2-1128
21ur.type2-1129	21ur.type2-1129	21ur.type2-1129
21ur.type2-113	21ur.type2-113	21ur.type2-113
21ur.type2-1131	21ur.type2-1131	21ur.type2-1131
21ur.type2-1133	21ur.type2-1133	21ur.type2-1133
21ur.type2-1135	21ur.type2-1135	21ur.type2-1135
21ur.type2-114	21ur.type2-114	21ur.type2-114
21ur.type2-1144	21ur.type2-1144	21ur.type2-1144
21ur.type2-1145	21ur.type2-1145	21ur.type2-1145
21ur.type2-115	21ur.type2-115	21ur.type2-115
21ur.type2-1152	21ur.type2-1152	21ur.type2-1152
21ur.type2-1157	21ur.type2-1157	21ur.type2-1157
21ur.type2-116	21ur.type2-116	21ur.type2-116
21ur.type2-1161	21ur.type2-1161	21ur.type2-1161
21ur.type2-1167	21ur.type2-1167	21ur.type2-1167
21ur.type2-1171	21ur.type2-1171	21ur.type2-1171
21ur.type2-1173	21ur.type2-1173	21ur.type2-1173
21ur.type2-1178	21ur.type2-1178	21ur.type2-1178
21ur.type2-1179	21ur.type2-1179	21ur.type2-1179
21ur.type2-1180	21ur.type2-1180	21ur.type2-1180
21ur.type2-1181	21ur.type2-1181	21ur.type2-1181
21ur.type2-1182	21ur.type2-1182	21ur.type2-1182
21ur.type2-1183	21ur.type2-1183	21ur.type2-1183
21ur.type2-1187	21ur.type2-1187	21ur.type2-1187
21ur.type2-119	21ur.type2-119	21ur.type2-119
21ur.type2-1194	21ur.type2-1194	21ur.type2-1194
21ur.type2-1197	21ur.type2-1197	21ur.type2-1197
21ur.type2-1198	21ur.type2-1198	21ur.type2-1198
21ur.type2-1201	21ur.type2-1201	21ur.type2-1201
21ur.type2-1208	21ur.type2-1208	21ur.type2-1208
21ur.type2-1209	21ur.type2-1209	21ur.type2-1209
21ur.type2-1215	21ur.type2-1215	21ur.type2-1215
21ur.type2-1222	21ur.type2-1222	21ur.type2-1222
21ur.type2-1225	21ur.type2-1225	21ur.type2-1225
21ur.type2-1228	21ur.type2-1228	21ur.type2-1228
21ur.type2-1231	21ur.type2-1231	21ur.type2-1231
21ur.type2-1233	21ur.type2-1233	21ur.type2-1233
21ur.type2-1238	21ur.type2-1238	21ur.type2-1238
21ur.type2-124	21ur.type2-124	21ur.type2-124
21ur.type2-1240	21ur.type2-1240	21ur.type2-1240
21ur.type2-1241	21ur.type2-1241	21ur.type2-1241
21ur.type2-1249	21ur.type2-1249	21ur.type2-1249
21ur.type2-1252	21ur.type2-1252	21ur.type2-1252
21ur.type2-1255	21ur.type2-1255	21ur.type2-1255
21ur.type2-1260	21ur.type2-1260	21ur.type2-1260
21ur.type2-1262	21ur.type2-1262	21ur.type2-1262
21ur.type2-1263	21ur.type2-1263	21ur.type2-1263
21ur.type2-1265	21ur.type2-1265	21ur.type2-1265
21ur.type2-127	21ur.type2-127	21ur.type2-127
21ur.type2-1272	21ur.type2-1272	21ur.type2-1272
21ur.type2-1273	21ur.type2-1273	21ur.type2-1273
21ur.type2-1281	21ur.type2-1281	21ur.type2-1281
