Gene.ID	Gene.name	Locus.name	CSR.target	WAGO1.target	WAGO9.target
WBGene00000001	aap-1	Y110A7A.10	TRUE	FALSE	FALSE
WBGene00000002	aat-1	F27C8.1	FALSE	FALSE	FALSE
WBGene00000003	aat-2	F07C3.7	FALSE	FALSE	FALSE
WBGene00000004	aat-3	F52H2.2	FALSE	FALSE	FALSE
WBGene00000005	aat-4	T13A10.10	FALSE	FALSE	FALSE
WBGene00000006	aat-5	C55C2.5	FALSE	FALSE	FALSE
WBGene00000007	aat-6	T11F9.4	FALSE	FALSE	FALSE
WBGene00000008	aat-7	F54D12.3	FALSE	FALSE	FALSE
WBGene00000009	aat-8	F28F9.4	FALSE	FALSE	FALSE
WBGene00000010	aat-9	Y53H1C.1	TRUE	FALSE	FALSE
WBGene00000012	abf-1	C50F2.9	FALSE	FALSE	FALSE
WBGene00000013	abf-2	C50F2.10	FALSE	FALSE	FALSE
WBGene00000014	abf-3	F54B8.5	FALSE	FALSE	FALSE
WBGene00000015	abf-4	Y38H6C.22	FALSE	FALSE	FALSE
WBGene00000016	abf-5	T22H6.5	FALSE	FALSE	FALSE
WBGene00000017	abf-6	T22H6.7	FALSE	FALSE	FALSE
WBGene00000018	abl-1	M79.1	TRUE	FALSE	FALSE
WBGene00000019	abt-1	C24F3.5	FALSE	TRUE	FALSE
WBGene00000020	abt-2	F12B6.1	FALSE	FALSE	FALSE
WBGene00000021	abt-3	F55G11.9	FALSE	FALSE	FALSE
WBGene00000022	abt-4	Y39D8C.1	FALSE	FALSE	FALSE
WBGene00000023	abt-5	Y53C10A.9	FALSE	FALSE	FALSE
WBGene00000024	abu-1	AC3.3	FALSE	FALSE	FALSE
WBGene00000025	abu-2	F19G12.7	FALSE	FALSE	FALSE
WBGene00000026	abu-3	F31A3.1	FALSE	FALSE	FALSE
WBGene00000027	abu-4	Y5H2A.3	FALSE	FALSE	FALSE
WBGene00000028	abu-5	Y105C5A.4	FALSE	FALSE	FALSE
WBGene00000029	abu-6	C03A7.7	FALSE	FALSE	FALSE
WBGene00000030	abu-7	C03A7.8	FALSE	TRUE	FALSE
WBGene00000031	abu-8	C03A7.14	FALSE	TRUE	FALSE
WBGene00000032	abu-9	R09F10.2	FALSE	FALSE	FALSE
WBGene00000033	abu-10	F35A5.3	FALSE	FALSE	FALSE
WBGene00000034	abu-11	T01D1.6	FALSE	FALSE	FALSE
WBGene00000035	ace-1	W09B12.1	FALSE	FALSE	FALSE
WBGene00000036	ace-2	Y44E3A.2	FALSE	FALSE	FALSE
WBGene00000037	ace-3	Y48B6A.8	FALSE	TRUE	FALSE
WBGene00000038	ace-4	Y48B6A.7	FALSE	FALSE	FALSE
WBGene00000039	acn-1	C42D8.5	FALSE	TRUE	FALSE
WBGene00000040	aco-1	ZK455.1	TRUE	FALSE	FALSE
WBGene00000041	aco-2	F54H12.1	TRUE	FALSE	FALSE
WBGene00000042	acr-2	K11G12.2	FALSE	FALSE	FALSE
WBGene00000043	acr-3	K11G12.7	FALSE	FALSE	FALSE
WBGene00000044	acr-5	K03F8.2	FALSE	FALSE	FALSE
WBGene00000045	acr-6	ZK973.5	FALSE	FALSE	FALSE
WBGene00000046	acr-7	T09A5.3	FALSE	FALSE	FALSE
WBGene00000047	acr-8	ZC504.2	FALSE	FALSE	FALSE
WBGene00000048	acr-9	C40C9.2	FALSE	TRUE	FALSE
WBGene00000049	acr-10	R02E12.8	FALSE	FALSE	FALSE
WBGene00000050	acr-11	D2092.3	FALSE	FALSE	FALSE
WBGene00000051	acr-12	R01E6.4	FALSE	FALSE	FALSE
WBGene00000053	acr-14	T05C12.2	FALSE	FALSE	FALSE
WBGene00000054	acr-15	F25G6.4	FALSE	FALSE	FALSE
WBGene00000055	acr-16	F25G6.3	FALSE	FALSE	FALSE
WBGene00000056	acr-17	F53E10.2	FALSE	TRUE	FALSE
