Gene.ID	WBGene	name
cel-let-7-5p	0	0
cel-lin-4-3p	0	0
cel-lin-4-5p	0	0
cel-lsy-6	0	0
cel-miR-1018	0	0
cel-miR-1019-5p	0	0
cel-miR-1020-3p	0	0
cel-miR-1020-5p	0	0
cel-miR-1022-3p	0	0
cel-miR-1022-5p	0	0
cel-miR-124-3p	0	0
cel-miR-124-5p	0	0
cel-miR-1-3p	0	0
cel-miR-1-5p	0	0
cel-miR-1817	0	0
cel-miR-1819-3p	0	0
cel-miR-1820-3p	0	0
cel-miR-1820-5p	0	0
cel-miR-1821	0	0
cel-miR-1822-3p	0	0
cel-miR-1822-5p	0	0
cel-miR-1823	0	0
cel-miR-1824-5p	0	0
cel-miR-1829a-3p	0	0
cel-miR-1829a-5p	0	0
cel-miR-1829b	0	0
cel-miR-1829c	0	0
cel-miR-1830-3p	0	0
cel-miR-1830-5p	0	0
cel-miR-1832a	0	0
cel-miR-1832b-3p	0	0
cel-miR-1832b-5p	0	0
cel-miR-1834-3p	0	0
cel-miR-1834-5p	0	0
cel-miR-2207-3p	0	0
cel-miR-2207-5p	0	0
cel-miR-2208a-3p	0	0
cel-miR-2208a-5p	0	0
cel-miR-2208b-3p	0	0
cel-miR-2208b-5p	0	0
cel-miR-2209a-3p	0	0
cel-miR-2209a-5p	0	0
cel-miR-2209c-3p	0	0
cel-miR-2210-3p	0	0
cel-miR-2210-5p	0	0
cel-miR-2211-3p	0	0
cel-miR-2211-5p	0	0
cel-miR-2212-5p	0	0
cel-miR-2213-5p	0	0
cel-miR-2214-3p	0	0
cel-miR-2214-5p	0	0
cel-miR-2215-3p	0	0
cel-miR-2216-5p	0	0
cel-miR-2217-3p	0	0
cel-miR-2217-5p	0	0
cel-miR-2218a-3p	0	0
cel-miR-2218a-5p	0	0
cel-miR-2218b-3p	0	0
cel-miR-2218b-5p	0	0
cel-miR-2219-3p	0	0
cel-miR-2219-5p	0	0
cel-miR-2220-3p	0	0
cel-miR-2221	0	0
cel-miR-228-3p	0	0
cel-miR-228-5p	0	0
cel-miR-229-3p	0	0
cel-miR-229-5p	0	0
cel-miR-230-3p	0	0
cel-miR-230-5p	0	0
cel-miR-231-3p	0	0
cel-miR-231-5p	0	0
cel-miR-232-3p	0	0
cel-miR-232-5p	0	0
cel-miR-233-3p	0	0
cel-miR-233-5p	0	0
cel-miR-234-3p	0	0
cel-miR-234-5p	0	0
cel-miR-235-3p	0	0
cel-miR-235-5p	0	0
cel-miR-236-3p	0	0
cel-miR-236-5p	0	0
cel-miR-237-3p	0	0
cel-miR-237-5p	0	0
cel-miR-238-3p	0	0
cel-miR-238-5p	0	0
cel-miR-239a-3p	0	0
cel-miR-239a-5p	0	0
cel-miR-239b-5p	0	0
cel-miR-2-3p	0	0
cel-miR-240-3p	0	0
cel-miR-240-5p	0	0
cel-miR-241-3p	0	0
cel-miR-241-5p	0	0
cel-miR-242	0	0
cel-miR-243-3p	0	0
cel-miR-243-5p	0	0
cel-miR-244-3p	0	0
cel-miR-244-5p	0	0
cel-miR-245-3p	0	0
cel-miR-245-5p	0	0
cel-miR-246-3p	0	0
cel-miR-246-5p	0	0
cel-miR-247-3p	0	0
cel-miR-248	0	0
cel-miR-249-3p	0	0
cel-miR-249-5p	0	0
cel-miR-250-3p	0	0
cel-miR-250-5p	0	0
